Area_Year,9_Postsecondary enrolments,"2_Number of students in elementary and secondary schools_Public school Total, program type","2_Number of students in elementary and secondary schools_Priviate school Total, program type","2_Number of students in elementary and secondary schools_Home-schooling Total, program type",3_Number of full-time and part-time educators,"1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,6_Estimates of population,7_Dependency ratio,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Residential structures,4_Canada_gdp_yearly_Non-profit institutions serving households gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand
British Columbia_2015,271272,552786,80637,2220,35757,44315,68.0,4776388,59.3,18329,10643,33998,92402,3637,43451,14103,6832,3367,22528,395,7694,101,46,39637,17002,13153,24313,49561,12515,16871,30949,-129,241509,257194
British Columbia_2016,273408,553374,81660,2247,36111,45298,99.0,4859250,59.9,19499,10957,34852,95087,4015,44179,12661,7744,3420,25916,329,7859,-174,55,40780,17530,12922,25885,52808,13075,18125,31334,199,248262,266460
British Columbia_2017,277974,557625,83469,2316,,44648,125.0,4929384,60.7,21152,11454,36328,99120,3993,45171,14297,8036,3580,25970,326,8520,1668,-35,41307,19083,12589,26748,55880,12409,19154,34092,-76,257724,277778
British Columbia_2018,286914,563241,84999,2259,,43599,137.0,5010476,61.3,21832,12188,36920,102701,4173,46601,14310,8633,4224,25551,347,9579,2208,419,42326,20537,13380,27292,58109,12789,20201,34843,-57,266882,286780
British Columbia_2019,295320,568980,86082,2307,,43452,224.0,5094796,61.6,21518,12487,37020,105407,4279,47874,19758,9641,4900,24876,333,9663,1990,470,41271,23131,13027,28469,59584,13790,21116,36724,144,273941,297493
British Columbia_2020,297432,576000,87222,2454,,42251,133.0,5158728,62.3,21251,12132,39185,97698,4351,49720,21428,7804,4784,25691,323,10033,-752,440,37716,17465,15353,26013,57624,9859,20746,35781,-56,265831,294349
British Columbia_2021,287523,568284,87291,5550,,43999,55.0,5214805,62.6,23544,14616,40246,104360,4478,53629,22514,8240,5143,29447,315,11603,1692,-8,40026,18112,13677,27554,66525,9070,21865,39506,10,282111,318273
Manitoba_1991,,,,,,17718,10.0,,,1647,1127,6850,11298,467,11912,1790,840,211,1536,35,1443,-405,13,5117,565,3163,5101,3965,1202,5214,4927,279,37004,38105
Manitoba_1992,,,,,,17059,14.0,,,1653,1124,6778,11510,506,11711,1585,810,232,1556,31,1461,-443,7,5462,630,3348,5651,4175,1220,5099,5006,-172,37272,37953
Manitoba_1993,43260,,,,,17141,14.0,,,1655,1159,6900,11738,499,11539,1325,931,287,1788,35,1375,-176,-231,5641,661,3169,5507,4481,1297,4924,5342,37,37304,38378
Manitoba_1994,42675,,,,,16844,14.0,,,1720,1179,7003,12082,461,11282,1314,800,346,2072,37,1544,53,452,6232,859,3785,5745,5341,1254,5320,5401,79,38774,38839
Manitoba_1995,41058,,,,,16442,19.0,,,1754,1238,7097,12360,551,11298,1578,942,333,1837,37,1498,146,83,6361,828,4259,5681,6057,1344,5259,5614,132,38795,39704
Manitoba_1996,38379,,,,,15816,16.0,,,1902,1235,7162,12389,590,11245,1941,1067,384,2069,41,1430,103,507,6908,936,4514,5606,6010,1440,6215,5788,-26,39800,40683
Manitoba_1997,37797,,,,,14947,17.0,,,2140,1273,7209,12787,721,11311,2259,1486,316,1892,82,1247,778,-138,8414,1025,4568,5595,7249,1483,6599,6248,266,41525,42414
